node_1;node_2;distance;traveltime
105735;65299;13814;12433
105735;65301;12857;11571
105735;65303;14376;12938
105735;65305;14931;13438
105735;65307;15363;13826
105735;65309;15536;13982
105735;65310;15554;13998
105735;65311;15773;14196
105735;65313;16747;15072
105735;65315;17121;15409
105735;65317;17620;15858
105735;65319;19172;17255
105735;65321;19706;17735
105735;65325;19892;17903
105735;65327;19245;17320
105735;65329;19582;17624
105735;65350;18031;16228
105735;65353;19932;17939
105735;65355;19286;17358
105735;65357;18693;16824
105735;65359;17835;16051
105735;65361;16707;15036
105735;65363;16193;14574
105735;65403;17322;15589
105735;65407;19294;17364
105735;65409;19146;17232
105735;68810;18701;16831
105735;105022;19378;17441
105735;105061;18502;16652
105735;105077;17906;16116
105735;105100;19150;17235
105735;105101;18137;16323
105735;105185;17175;15458
105735;105216;19893;17903
105735;105241;18041;16237
105735;105261;19158;17242
105735;105262;16418;14776
105735;105284;16671;15004
105735;105299;17969;16172
105735;105319;17321;15589
105735;105320;15484;13935
105735;105321;17612;15850
105735;105339;15160;13644
105735;105340;15745;14171
105735;105359;18684;16815
105735;105383;14928;13435
105735;105384;17584;15825
105735;105403;18017;16215
105735;105404;13865;12479
105735;105405;16148;14533
105735;105424;15265;13738
105735;105425;16024;14421
105735;105426;16788;15109
105735;105427;19262;17336
105735;105428;19379;17441
105735;105451;16124;14512
105735;105453;15377;13840
105735;105454;17443;15699
105735;105476;15870;14283
105735;105478;10648;9583
105735;105479;11782;10604
105735;105480;14603;13142
105735;105506;18450;16605
105735;105507;16398;14758
105735;105508;15583;14025
105735;105509;14069;12662
105735;105511;18391;16552
105735;105533;18613;16751
105735;105534;17803;16022
105735;105536;9230;8307
105735;105538;13024;11722
105735;105559;8742;7868
105735;105560;13428;12085
105735;105576;13464;12118
105735;105577;12208;10987
105735;105578;14450;13005
105735;105593;7110;6399
105735;105594;6744;6070
105735;105595;11419;10277
105735;105611;19152;17237
105735;105613;7136;6423
105735;105627;19634;17671
105735;105628;14637;13173
105735;105629;7096;6386
105735;105630;5335;4801
105735;105631;9623;8661
105735;105642;19102;17191
105735;105643;9277;8349
105735;105644;7845;7061
105735;105645;7266;6540
105735;105646;9627;8664
105735;105660;15767;14191
105735;105661;8534;7681
105735;105662;5759;5183
105735;105678;9774;8797
105735;105680;9736;8762
105735;105691;10161;9145
105735;105692;9837;8853
105735;105693;2336;2102
105735;105694;10379;9341
105735;105708;2096;1886
105735;105709;1810;1629
105735;105718;1776;1599
105735;105719;5457;4911
105735;105722;11372;10235
105735;105733;17852;16067
105735;105734;14404;12964
105735;105736;6375;5738
105735;105737;11098;9988
105735;105738;17682;15914
105735;105749;1591;1432
105735;105750;7790;7011
105735;105752;9163;8246
105735;105753;10419;9377
105735;105763;2893;2603
105735;105764;2463;2216
105735;105765;9600;8640
105735;105775;5772;5194
105735;105776;3576;3219
105735;105777;2866;2579
105735;105778;7143;6429
105735;105779;10154;9139
105735;105789;5225;4702
105735;105790;4886;4397
105735;105791;8318;7486
105735;105792;9560;8604
105735;105807;4855;4370
105735;105808;8338;7504
105735;105809;8631;7768
105735;105810;9128;8215
105735;105811;10109;9098
105735;105821;5523;4971
105735;105822;5037;4533
105735;105823;4750;4275
105735;105824;9194;8275
105735;105825;9082;8174
105735;105826;10851;9766
105735;105832;16610;14949
105735;105833;15582;14024
105735;105834;12692;11422
105735;105836;9324;8392
105735;105837;11314;10183
105735;105845;15263;13737
105735;105846;13230;11907
105735;105847;9514;8562
105735;105848;10725;9653
105735;105857;14523;13071
105735;105858;13704;12333
105735;105859;10100;9090
105735;105860;11553;10398
105735;105877;13424;12081
105735;105878;10494;9444
105735;105892;14004;12604
105735;105893;12133;10920
105735;105894;11493;10344
105735;105895;10399;9359
105735;105896;10966;9869
105735;105907;13766;12390
105735;105908;15599;14039
105735;105909;12847;11562
105735;105923;14911;13420
105735;105924;14581;13123
105735;105925;12125;10912
105735;105932;18244;16419
105735;105933;16528;14875
105735;105934;13119;11807
105735;105938;16486;14837
105735;105939;15410;13869
105735;105940;13658;12292
105735;105946;17007;15306
105735;105947;13321;11989
105735;105955;17787;16008
105735;105956;16571;14914
105735;105957;13812;12430
105735;105958;15649;14084
105735;105964;18788;16910
105735;105965;19536;17582
105735;105966;15815;14233
105735;105967;14693;13223
105735;105972;18253;16428
105735;105973;19286;17358
105735;105974;16974;15277
105735;105975;15814;14232
105735;105982;16408;14767
105735;105987;18954;17058
105735;105988;16364;14728
105735;105989;16821;15139
105735;105993;19323;17391
105735;105994;19272;17345
105735;105995;18214;16392
105735;106013;18490;16641
105736;520;11135;10021
105736;541;17785;16007
105736;551;11246;10121
105736;552;16159;14543
105736;555;12118;10906
105736;59510;17865;16079
105736;60042;10890;9801
105736;62087;19764;17788
105736;62089;19256;17331
105736;62091;18995;17096
105736;62165;19022;17120
105736;62167;18538;16684
105736;62169;17974;16177
105736;62171;16183;14565
105736;62173;15737;14163
105736;62175;15340;13806
105736;62177;14563;13106
105736;62179;13879;12491
105736;62181;13760;12384
105736;62183;15238;13714
105736;62185;14566;13109
105736;62187;12589;11330
105736;62189;11531;10378
105736;62191;10985;9887
105736;62195;9430;8487
105736;62225;19234;17311
105736;62565;19112;17201
105736;62567;17873;16086
105736;62569;16994;15295
105736;62571;9905;8915
105736;62573;10593;9534
105736;63001;8914;8023
105736;63003;8511;7660
105736;63007;8685;7817
105736;63009;7934;7141
105736;63011;7503;6752
105736;63013;6172;5554
105736;63015;5259;4733
105736;63017;3898;3508
105736;63019;3303;2972
105736;63021;2228;2005
105736;63023;1555;1400
105736;63025;1852;1667
105736;63027;2386;2148
105736;63029;1614;1452
105736;63031;1092;983
105736;63033;1665;1499
105736;63035;2069;1862
105736;63037;2386;2148
105736;63039;2568;2311
105736;63041;2901;2611
105736;63043;3102;2792
105736;63045;3471;3124
105736;63051;11156;10041
105736;63058;5359;4823
105736;63060;10126;9113
105736;63062;10717;9646
105736;63064;10677;9610
105736;63065;8291;7462
105736;63067;19351;17416
105736;63068;12663;11397
105736;63070;12771;11494
105736;63077;5147;4632
105736;63079;8305;7475
105736;63081;13327;11994
105736;63100;17247;15522
105736;63103;2899;2609
105736;63105;3890;3501
105736;63107;4548;4093
105736;63109;5829;5246
105736;63111;6038;5434
105736;63113;6633;5970
105736;63115;7597;6837
105736;63117;8180;7362
105736;63119;8807;7926
105736;63123;10191;9171
105736;63125;10556;9500
105736;63127;11234;10110
105736;63129;11788;10609
105736;63131;12102;10891
105736;63133;12621;11359
105736;63135;13608;12247
105736;63137;14393;12954
105736;63139;14762;13285
105736;63141;15303;13772
105736;63143;15879;14291
105736;63145;16184;14566
105736;63147;16571;14914
105736;63149;16983;15284
105736;63151;17212;15491
105736;63153;17770;15993
105736;63155;16763;15087
105736;63157;16149;14534
105736;63159;15564;14007
105736;63161;15201;13681
105736;63163;14693;13223
105736;63167;14248;12824
105736;63171;12069;10862
105736;63173;11586;10427
105736;63175;11250;10125
105736;63177;10467;9420
105736;63179;10233;9210
105736;63183;8672;7805
105736;63185;8696;7827
105736;63187;9564;8607
105736;63189;10071;9064
105736;63191;10429;9386
105736;63193;10733;9660
105736;63195;10295;9265
105736;63197;17484;15736
105736;63201;4737;4263
105736;63203;5282;4754
105736;63205;5611;5050
105736;63207;5991;5392
105736;63209;7919;7127
105736;63211;8352;7517
105736;63213;9339;8405
105736;63215;9808;8828
105736;63265;3456;3110
105736;63267;9689;8720
105736;63300;10311;9280
105736;63314;10618;9556
105736;63330;13496;12147
105736;63501;13614;12253
105736;63503;12668;11401
105736;63505;11964;10768
105736;63507;11613;10452
105736;63509;10951;9856
105736;63511;10669;9602
105736;63513;10412;9371
105736;63515;10175;9158
105736;63517;10279;9251
105736;63519;10812;9731
105736;63521;11184;10065
105736;63523;11634;10471
105736;63525;12027;10824
105736;63527;12418;11176
105736;63529;13367;12030
105736;63531;14223;12800
105736;63533;15098;13588
105736;63535;16181;14563
105736;63537;17111;15400
105736;63539;17872;16085
105736;63541;18550;16695
105736;63543;19734;17761
105736;63801;11072;9965
105736;63803;11057;9952
105736;63813;14355;12920
105736;63815;14857;13371
105736;63817;15301;13771
105736;63819;15833;14250
105736;63821;16319;14687
105736;63823;17476;15728
